vendor,bag_name,notes,details,size,price
Passenger,Keystone,"Floral, Red Fruit, Brown Sugar","['B Corp', 'Washed', '1300 - 1700 ft', 'Colombia']",10 oz,$18.25
Coffee Project NY,Crowd Pleaser Espresso,"Black Cherry, Chocolate, Honey",['N/A'],10 oz,$19.00
Cuvee,Mexico,"Chocolate, Citrus, Raisin","['Typica', 'Washed', '1000 - 1850 ft', 'Mexico']",12 oz,$17.25
Methodical,"Ethiopia, Origins - Washed","Citrus, Floral, Jasmine Tea","['Heirloom', 'Washed', '1300 - 2200 ft', 'Africa', 'Ethiopia']",12 oz,$24.00
KLLR,Natural Africa,"Berry, Floral, Lemon Curd","['Natural', 'Africa', 'Ethiopia']",12 oz,$24.00
Upper Left,"Chapina, Guatemala","Caramel, Chocolate, Fig","['Bourbon', 'Washed', '1500 - 1800 ft', 'Central America', 'Guatemala']",10 oz,$16.00
Gimme,Kenya Kericho Highlands Fairtrade Dark Roast,"Blackcurrant, Maple Syrup, Cocoa","['Batian', 'Fair Trade', 'Washed', '2000 - 2000 ft', 'Africa', 'Kenya']",12 oz,$23.00
Gimme,Ethiopia SCFCU Fairtrade Organic,"Blueberry, Raspberry","['Heirloom', 'Fair Trade, Certified Organic', 'Natural', '1800 - 2200 ft', 'Africa', 'Ethiopia']",12 oz,$18.00
Gimme,Brazil Coopfam Certified Fairtrade,"Cashew, Honey Graham, Roasted Peanuts","['Catuai', 'Fair Trade', 'Natural', '900 - 1300 ft', 'South America', 'Brazil']",12 oz,$14.00
N/A,N/A,N/A,['N/A'],N/A,N/A
Sightglass,Toketee,"Apricot, Cocoa Nib, Caramel","['Direct Trade, Certified Organic', 'Washed', 'Asia', 'Indonesia']",12 oz,$19.00
Passenger,Cusco,"Marzipan, Red Fruit, Cocoa","['Typica', 'B Corp', 'Washed', '1600 - 2000 ft', 'South America', 'Peru']",10 oz,$18.00
Passenger,Agaro,"Bergamot, Peach, Meyer Lemon","['Heirloom', 'B Corp', 'Washed', '1800 - 2100 ft', 'Africa', 'Ethiopia']",10 oz,$19.00
Sightglass,Toketee,"Apricot, Cocoa Nib, Caramel","['Direct Trade, Certified Organic', 'Washed', 'Asia', 'Indonesia']",12 oz,$20.50
Methodical,"Ethiopia, Origins - Natural","Berry, Black Tea, Chocolate","['Heirloom', 'Natural', '1200 - 2000 ft', 'Africa', 'Ethiopia']",12 oz,$24.00
PT's,Terra Alta Pulped Natural,"Milk Chocolate, Vanilla, Peach","['960 - 1021 ft', 'South America', 'Guatemala']",10 oz,$15.00
Metric,Colorized,"Peach, Mango, Cream",['N/A'],10.5 oz,$19.00
ONYX,Geometry,"Berry, Lemon, Earl Grey","['Washed', 'Africa', 'Ethiopia']",10 oz,$18.50
